year,st,firms,estabs,emp,denom,estabs_entry,estabs_entry_rate,estabs_exit,estabs_exit_rate,job_creation,job_creation_births,job_creation_continuers,job_creation_rate_births,job_creation_rate,job_destruction,job_destruction_deaths,job_destruction_continuers,job_destruction_rate_deaths,job_destruction_rate,net_job_creation,net_job_creation_rate,reallocation_rate,firmdeath_firms,firmdeath_estabs,firmdeath_emp
1980,23,20268,23236,317105,316516,2710,11.655,2742,11.793,46866,17587,29279,5.556,14.807,45722,17401,28321,5.498,14.445,1144,0.361,28.891,1919,1937,8646
1980,24,62994,75080,1292503,1280168,9111,12.214,8137,10.909,222115,76750,145365,5.995,17.35,197041,67932,129109,5.306,15.392,25074,1.959,30.784,5393,5471,28812
1980,25,99443,115255,2249823,2236805,12408,10.832,11001,9.604,350622,110261,240361,4.929,15.675,322481,100748,221733,4.504,14.417,28141,1.258,28.834,7368,7475,40360
1980,26,130894,156607,2895418,3000267,17907,11.447,17554,11.222,362519,135676,226843,4.522,12.083,575021,141831,433190,4.727,19.166,-212502,-7.083,24.166,11903,12048,66970
1980,27,71523,84069,1466163,1457319,9737,11.667,8510,10.197,235628,85317,150311,5.854,16.169,217852,71224,146628,4.887,14.949,17776,1.22,29.898,5960,6049,35127
1980,28,37364,43810,602344,608817,5849,13.43,5331,12.241,98646,41882,56764,6.879,16.203,110935,40678,70257,6.681,18.221,-12289,-2.019,32.406,3804,3833,18132
1980,29,83779,99245,1622738,1634516,11943,12.041,11818,11.915,239450,92524,146926,5.661,14.65,262876,89905,172971,5.5,16.083,-23426,-1.433,29.299,8227,8336,38808
1980,30,17977,20453,207787,209794,2754,13.477,2717,13.296,37577,15980,21597,7.617,17.911,41588,14033,27555,6.689,19.823,-4011,-1.912,35.823,1918,1928,8905
1980,31,32358,37263,478688,478427,4216,11.328,4122,11.076,73501,28799,44702,6.02,15.363,73174,25214,47960,5.27,15.295,327,0.068,30.589,2977,3011,12866
1980,32,16323,18648,339325,334852,3427,18.771,2645,14.488,73450,34781,38669,10.387,21.935,63483,22754,40729,6.795,18.959,9967,2.977,37.917,1897,1922,11679
1980,33,18434,20684,323579,321145,2517,12.213,2366,11.481,52389,19133,33256,5.958,16.313,47828,18299,29529,5.698,14.893,4561,1.42,29.786,1669,1681,9473
1980,34,136337,154675,2564149,2563645,18116,11.801,15783,10.282,400269,139264,261005,5.432,15.613,398791,132525,266266,5.169,15.556,1478,0.058,31.111,11019,11085,55058
1980,35,23199,26861,328832,329584,4108,15.372,3833,14.343,64106,27444,36662,8.327,19.451,65834,24940,40894,7.567,19.975,-1728,-0.524,38.901,2667,2691,14383
1980,36,319233,359937,5893763,5882839,40004,11.117,39849,11.073,884704,291571,593133,4.956,15.039,863940,309366,554574,5.259,14.686,20764,0.353,29.372,28646,28902,145563
1980,37,92837,112399,1971129,1974132,13991,12.501,13029,11.642,281579,109237,172342,5.533,14.263,285588,107589,177999,5.45,14.467,-4009,-0.203,28.527,8985,9098,42978
1980,38,14094,16012,172753,171541,1996,12.544,1796,11.287,31120,12241,18879,7.136,18.141,28702,10200,18502,5.946,16.732,2418,1.41,33.464,1308,1314,5636
1980,39,159856,197878,3690360,3730489,20932,10.573,21140,10.678,511006,193776,317230,5.194,13.698,592091,191529,400562,5.134,15.872,-81085,-2.174,27.396,13603,13790,68562
1980,40,54881,63788,879600,865206,9601,15.193,8408,13.306,178855,74808,104047,8.646,20.672,148889,59211,89678,6.844,17.209,29966,3.463,34.417,6009,6082,32241
1980,41,53416,61739,836134,832111,9673,15.817,8508,13.912,159755,69160,90595,8.311,19.199,153034,59620,93414,7.165,18.391,6721,0.808,36.782,6071,6188,31585
1980,42,181812,217360,4007298,4004633,21767,9.999,22415,10.297,565726,208915,356811,5.217,14.127,558522,196202,362320,4.899,13.947,7204,0.18,27.894,15253,15439,79958
1980,44,18708,20750,335711,337048,2187,10.557,2118,10.224,47858,16610,31248,4.928,14.199,50614,17235,33379,5.114,15.017,-2756,-0.818,28.398,1498,1508,6887
1980,45,46233,55050,944878,940190,7361,13.461,6631,12.126,142971,54383,88588,5.784,15.207,133446,47862,85584,5.091,14.194,9525,1.013,28.387,4556,4638,19627
1980,46,14889,16772,179909,179862,1938,11.586,1849,11.054,29613,12202,17411,6.784,16.464,29630,9829,19801,5.465,16.474,-17,-0.009,32.929,1351,1358,5667
1980,47,70148,83686,1411957,1421914,11052,13.26,10374,12.447,219919,91556,128363,6.439,15.466,239803,89383,150420,6.286,16.865,-19884,-1.398,30.933,7306,7384,38280
1980,48,244282,300068,4833731,4759204,47676,16.142,38230,12.944,1002774,398576,604198,8.375,21.07,849744,305301,544443,6.415,17.855,153030,3.215,35.71,26304,26722,153012
1980,49,23877,27738,432386,430343,4185,15.112,4097,14.794,80055,31607,48448,7.345,18.603,76099,32244,43855,7.493,17.683,3956,0.919,35.367,2891,2929,16550
1980,50,11546,12824,165299,164649,1603,12.607,1386,10.9,25908,9092,16816,5.522,15.735,24330,7892,16438,4.793,14.777,1578,0.958,29.554,1053,1061,4095
1980,51,80495,97818,1613411,1600266,12299,12.655,11030,11.35,259445,95565,163880,5.972,16.213,232951,84328,148623,5.27,14.557,26494,1.656,29.114,7603,7690,35760
1980,53,76439,89435,1247129,1232032,13249,14.914,12054,13.569,244751,91465,153286,7.424,19.866,215588,82210,133378,6.673,17.499,29163,2.367,34.997,8423,8526,45673
1980,54,27517,32032,475079,487175,3831,11.942,3927,12.241,71397,29705,41692,6.097,14.655,94804,32530,62274,6.677,19.46,-23407,-4.805,29.311,2762,2772,11674
1980,55,81895,94696,1602773,1609344,9824,10.396,9431,9.98,212948,75179,137769,4.671,13.232,227116,73977,153139,4.597,14.112,-14168,-0.88,26.464,6659,6725,31931
1980,56,11430,12793,149222,146257,2077,16.506,1657,13.169,33868,13669,20199,9.346,23.156,27969,11489,16480,7.855,19.123,5899,4.033,38.246,1160,1177,6420
